,nm_uf,uf,cod_mun,nm_mun,tipo,cod_uf,pop
0,Rondônia,RO,1100015,Alta Floresta D´Oeste,IntermediarioAdjacente,11,22516
1,Rondônia,RO,1100023,Ariquemes,Urbano,11,111148
2,Rondônia,RO,1100031,Cabixi,RuralAdjacente,11,5067
3,Rondônia,RO,1100049,Cacoal,Urbano,11,86416
4,Rondônia,RO,1100056,Cerejeiras,Urbano,11,16088
5,Rondônia,RO,1100064,Colorado do Oeste,IntermediarioAdjacente,11,15213
6,Rondônia,RO,1100072,Corumbiara,RuralRemoto,11,7052
7,Rondônia,RO,1100080,Costa Marques,RuralRemoto,11,19255
8,Rondônia,RO,1100098,Espigão D´Oeste,IntermediarioAdjacente,11,33009
9,Rondônia,RO,1100106,Guajará-Mirim,Urbano,11,46930
10,Rondônia,RO,1100114,Jaru,Urbano,11,51469
11,Rondônia,RO,1100122,Ji-Paraná,Urbano,11,131026
12,Rondônia,RO,1100130,Machadinho D´Oeste,RuralRemoto,11,41724
13,Rondônia,RO,1100148,Nova Brasilândia D´Oeste,RuralAdjacente,11,20504
14,Rondônia,RO,1100155,Ouro Preto do Oeste,Urbano,11,35445
15,Rondônia,RO,1100189,Pimenta Bueno,Urbano,11,37098
16,Rondônia,RO,1100205,Porto Velho,Urbano,11,548.952(1)
17,Rondônia,RO,1100254,Presidente Médici,IntermediarioAdjacente,11,18165
18,Rondônia,RO,1100262,Rio Crespo,RuralAdjacente,11,3843
19,Rondônia,RO,1100288,Rolim de Moura,Urbano,11,55748
20,Rondônia,RO,1100296,Santa Luzia D´Oeste,RuralAdjacente,11,5942
21,Rondônia,RO,1100304,Vilhena,Urbano,11,104517
22,Rondônia,RO,1100320,São Miguel do Guaporé,RuralRemoto,11,23147
23,Rondônia,RO,1100338,Nova Mamoré,RuralRemoto,11,32184
24,Rondônia,RO,1100346,Alvorada D´Oeste,RuralAdjacente,11,13807
25,Rondônia,RO,1100379,Alto Alegre dos Parecis,RuralAdjacente,11,13268
26,Rondônia,RO,1100403,Alto Paraíso,RuralAdjacente,11,22258
27,Rondônia,RO,1100452,Buritis,IntermediarioRemoto,11,41043
28,Rondônia,RO,1100502,Novo Horizonte do Oeste,RuralAdjacente,11,8125
29,Rondônia,RO,1100601,Cacaulândia,RuralAdjacente,11,6307
30,Rondônia,RO,1100700,Campo Novo de Rondônia,RuralAdjacente,11,14391
31,Rondônia,RO,1100809,Candeias do Jamari,Urbano,11,28068
32,Rondônia,RO,1100908,Castanheiras,RuralAdjacente,11,2923
33,Rondônia,RO,1100924,Chupinguaia,RuralRemoto,11,11755
34,Rondônia,RO,1100940,Cujubim,IntermediarioAdjacente,11,27131
35,Rondônia,RO,1101005,Governador Jorge Teixeira,RuralAdjacente,11,7130
36,Rondônia,RO,1101104,Itapuã do Oeste,RuralAdjacente,11,10819
37,Rondônia,RO,1101203,Ministro Andreazza,RuralAdjacente,11,9461
38,Rondônia,RO,1101302,Mirante da Serra,RuralAdjacente,11,10691
39,Rondônia,RO,1101401,Monte Negro,RuralAdjacente,11,16158
40,Rondônia,RO,1101435,Nova União,RuralAdjacente,11,6822
41,Rondônia,RO,1101450,Parecis,RuralAdjacente,11,6319
42,Rondônia,RO,1101468,Pimenteiras do Oeste,RuralRemoto,11,2127
43,Rondônia,RO,1101476,Primavera de Rondônia,RuralAdjacente,11,2697
44,Rondônia,RO,1101484,São Felipe D´Oeste,RuralAdjacente,11,4962
45,Rondônia,RO,1101492,São Francisco do Guaporé,RuralRemoto,11,21088
46,Rondônia,RO,1101500,Seringueiras,RuralRemoto,11,11846
47,Rondônia,RO,1101559,Teixeirópolis,RuralAdjacente,11,4160
48,Rondônia,RO,1101609,Theobroma,RuralAdjacente,11,10348
49,Rondônia,RO,1101708,Urupá,RuralAdjacente,11,11081
50,Rondônia,RO,1101757,Vale do Anari,RuralRemoto,11,11545
51,Rondônia,RO,1101807,Vale do Paraíso,RuralAdjacente,11,6490
52,Acre,AC,1200013,Acrelândia,RuralAdjacente,12,15721
53,Acre,AC,1200054,Assis Brasil,RuralRemoto,12,7649
